Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
32845,"13736000100","37360001000","3742",,,"PAGE","BLVD","C","03/05/92 00:00:00",5.7686993000000005e+05,1.0245451300000000e+06,,0,,"02/25/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32848,"13737000380","37370000700","3736",,,"COOK","AV","C","06/06/74 00:00:00",5.7648233999999997e+05,1.0242635600000001e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
32850,"13737000390","37370000900","3732",,,"COOK","AV","C",,5.7652703000000003e+05,1.0242381899999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Retired"
32861,"13738000420","37380001200","3816",,,"COOK","AV","C","03/28/91 00:00:00",5.7605945999999996e+05,1.0244997200000000e+06,,0,,"03/22/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
32862,"13738000170","37380001700","3806",,,"COOK","AV","C","03/20/85 00:00:00",5.7616787000000000e+05,1.0244393100000001e+06,,0,,"02/26/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32873,"13739000600","37390000800","3864",,,"PAGE","BLVD","AA","07/02/09 00:00:00",5.7615725000000000e+05,1.0249203400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",,"Tax Suit",,"Retired"
32875,"13740000090","37400000900","3908",,,"PAGE","BLVD","CC","11/27/85 00:00:00",5.7586565000000002e+05,1.0251089399999999e+06,,0,,"11/21/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32876,"13740000100","37400001001","3906",,,"PAGE","BLVD","C","01/14/80 00:00:00",5.7588183999999997e+05,1.0251002500000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32882,"13741000340","37410003400","1213",,,"JONES","AV","CC","11/20/81 00:00:00",5.7555356000000006e+05,1.0251145900000000e+06,0,1,,"12/07/81 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32883,"13741000350","37410003500","3931",,,"COOK","AV","CC","08/28/84 00:00:00",5.7555208999999997e+05,1.0250197800000000e+06,0,1,,"03/14/84 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32884,"13741000360","37410003600","3933",,,"COOK","AV","C","05/31/77 00:00:00",5.7553412000000000e+05,1.0250302200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32885,"13741000380","37410003800","3937",,,"COOK","AV","C",,5.7549945999999996e+05,1.0250495900000000e+06,,0,,"10/26/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32886,"13741000390","37410003900","3939",,,"COOK","AV","CC","08/13/74 00:00:00",5.7548200000000000e+05,1.0250595600000001e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32887,"13741000400","37410004000","3941",,,"COOK","AV","CC","08/28/84 00:00:00",5.7546328000000003e+05,1.0250700900000000e+06,0,1,,"03/13/84 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32889,"13741000460","37410004600","3959",,,"COOK","AV","C","02/05/90 00:00:00",5.7532640000000002e+05,1.0251723800000000e+06,,0,,"01/31/90 00:00:00","Vacant Lot",5.0000000000000000e+02,"108 Acquistion",,"Available"
32892,"13741000700","37410007000","3941","R",,"COOK","AV","CC","06/06/74 00:00:00",5.7553745999999996e+05,1.0251146600000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32898,"13742000260","37420002600","3968",,,"COOK","AV","CC","02/13/76 00:00:00",5.7514340000000002e+05,1.0250120600000001e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32899,"13742000330","37420003300","3946",,,"COOK","AV","CC","02/13/76 00:00:00",5.7531378000000003e+05,1.0249167800000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32900,"13742000370","37420003700","3930",,,"COOK","AV","C","02/05/90 00:00:00",5.7546928000000003e+05,1.0248296300000000e+06,,0,,"01/31/90 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32910,"13742000550","37420005500","3937",,,"FINNEY","AV","CC",,5.7532030000000005e+05,1.0247274800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32912,"13742000590","37420005900","3949",,,"FINNEY","AV","C","11/20/81 00:00:00",5.7522641000000003e+05,1.0247794700000000e+06,,0,,"12/09/81 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32914,"13742000620","37420006200","3957",,,"FINNEY","AV","C","03/23/94 00:00:00",5.7515526000000001e+05,1.0248184399999999e+06,,0,,"04/05/94 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32915,"13742000630","37420006300","3959",,,"FINNEY","AV","C",,5.7513106000000006e+05,1.0248318500000000e+06,,0,,"02/26/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
32916,"13742000650","37420006500","3965",,,"FINNEY","AV","CC","07/01/83 00:00:00",5.7507943999999994e+05,1.0248603300000000e+06,0,1,,"11/24/82 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32917,"13742000660","37420006600","3969",,,"FINNEY","AV","C","03/28/91 00:00:00",5.7505037000000000e+05,1.0248769800000000e+06,,0,,"03/12/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32918,"13742000670","37420006700","3971",,,"FINNEY","AV","CC","06/06/74 00:00:00",5.7501367000000004e+05,1.0248975100000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32919,"13742000720","37420007200","4015",,,"FINNEY","AV","CC","11/27/85 00:00:00",5.7484648999999999e+05,1.0249894500000000e+06,,0,,"11/21/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32920,"13742000730","37420007300","4017",,,"FINNEY","AV","C","02/13/76 00:00:00",5.7481498999999999e+05,1.0250095699999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32928,"13745000230","37450002300","4242",,,"PAGE","BLVD","CC","06/06/74 00:00:00",5.7375456000000006e+05,1.0262564700000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32929,"13745000530","37450005300","4239",,,"COOK","AV","C","06/06/74 00:00:00",5.7369431000000006e+05,1.0260832200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32930,"13746000030","37460000300","4258",,"W","COOK","AV","CC","03/28/91 00:00:00",5.7297315000000002e+05,1.0262208400000000e+06,,0,,"03/22/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32931,"13746000050","37460000500","4254",,"W","COOK","AV","CC","01/11/80 00:00:00",5.7301656000000006e+05,1.0261964399999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32932,"13746000080","37460000800","4246",,"W","COOK","AV","CC","07/01/83 00:00:00",5.7308603000000003e+05,1.0261578100000001e+06,,0,,"11/22/82 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32933,"13746000090","37460000900","4244",,"W","COOK","AV","CC",,5.7310756000000006e+05,1.0261459100000000e+06,,0,,"09/06/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Accepted Offer"
32934,"13746000130","37460001300","4232",,"W","COOK","AV","CC","03/20/85 00:00:00",5.7321620999999996e+05,1.0260854399999999e+06,,0,,"02/25/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
